url,parsed_category,manual_category_id,manual_category_en,manual_category,s3_url
https://rutube.ru/video/77fb221d8c1e75da78bf401f825daa23/,"('«Жажда скорости». Сразу два смертельных ДТП произошли за сутки в Воронежской области.', 2, 'Авто-мото')",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/77fb221d8c1e75da78bf401f825daa23.mp4
https://rutube.ru/video/a3a5e23a53a4f295210d792456a39a16/,"('«Яндекс такси на тот свет». 21-летняя девушка погибла в ДТП в Волгоградской области.', 2, 'Авто-мото')",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/a3a5e23a53a4f295210d792456a39a16.mp4
https://rutube.ru/shorts/f508b3c1b7efbd72a710f1a2150e36ee/,"(None, None, None)",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/f508b3c1b7efbd72a710f1a2150e36ee.mp4
https://rutube.ru/video/b2784e7803b339ec7346096007fa79f9/,"('II Российский Фестиваль Любителей Mercedes-Benz в Воронеже (2014)', 2, 'Авто-мото')",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/b2784e7803b339ec7346096007fa79f9.mp4
https://rutube.ru/video/671040092dd0f2f25da6cee0b2be43c3/,"('КВАДРОЦИКЛЫ. Купель. Лесные фонтаны. Галдым.', 2, 'Авто-мото')",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/671040092dd0f2f25da6cee0b2be43c3.mp4
https://rutube.ru/video/a4f693322a0b3a31d2f3e4b5f8835b9a/,"('мотобудни ""Мысли в слух""', 2, 'Авто-мото')",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/a4f693322a0b3a31d2f3e4b5f8835b9a.mp4
https://rutube.ru/video/460d0196cbfe0a76eb3c019afc1bd1c5/,"('Honda Shadow VT750|ASMR', 2, 'Авто-мото')",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/460d0196cbfe0a76eb3c019afc1bd1c5.mp4
https://rutube.ru/video/d83bd4cda356071372e701fca9f50660/,"('F7 Challenge 2024г 2 этап! Самые крутые гонки на квадроциклах!', 2, 'Авто-мото')",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/d83bd4cda356071372e701fca9f50660.mp4
https://rutube.ru/video/0d6f5d3d204b3bcc24d62f2b0ad43ac8/,"('Porsche 911 EVO 900. Mansory', 2, 'Авто-мото')",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/0d6f5d3d204b3bcc24d62f2b0ad43ac8.mp4
https://rutube.ru/video/f1869f4b1e664a7886ff86b65a34448c/,"('Необычные модификации и тюнинг автомобилей ЛуАЗ №3', 2, 'Авто-мото')",0,Auto-moto,Авто-мото,https://storage.yandexcloud.net/rutube-tagging/f1869f4b1e664a7886ff86b65a34448c.mp4
